name,description,latitude,longitude
Ademuz,Ademuz,40.07506123,-1.223409855
Ador,Ador,38.93339577,-0.245811183
Agullent,Agullent,38.84230779,-0.553277731
Aielo-de-Malferit,Aielo-de-Malferit,38.88670454,-0.601526878
Aielo-de-Rugat,Aielo-de-Rugat,38.88098475,-0.344853083
Alaquas,Alaquas,39.45634219,-0.460910797
Albaida,Albaida,38.85398481,-0.525912977
Albal,Albal,39.39173396,-0.407364319
Albalat-de-la-Ribera,Albalat-de-la-Ribera,39.21848359,-0.373881111
Albalat-dels-Sorells,Albalat-dels-Sorells,39.54598695,-0.340625963
Albalat-dels-Tarongers,Albalat-dels-Tarongers,39.68288208,-0.355849987
Alberic,Alberic,39.11879319,-0.518625322
Alborache,Alborache,39.38220126,-0.756557173
Alboraya,Alboraya,39.50452935,-0.33801635
Albuixech,Albuixech,39.54414922,-0.321730784
Alcantera-de-Xuquer,Alcantera-de-Xuquer,39.06594246,-0.555506004
Alcasser,Alcasser,39.37797822,-0.447102758
Alcublas,Alcublas,39.80629344,-0.689123948
Alcudia-de-Crespins-l,Alcudia-de-Crespins-l,38.97263723,-0.602186849
Alcudia-l,Alcudia-l,39.18386484,-0.512680592
Aldaia,Aldaia,39.46469179,-0.461683273
Alfafar,Alfafar,39.40971876,-0.368982336
Alfara-de-Algimia,Alfara-de-Algimia,39.77152525,-0.3522413
Alfara-del-Patriarca,Alfara-del-Patriarca,39.53973287,-0.379896831
Alfarp,Alfarp,39.28354053,-0.531538555
Alfarrasi,Alfarrasi,38.90878882,-0.499902261
Alfauir,Alfauir,38.93357954,-0.243844579
Algar-de-Palancia,Algar-de-Palancia,39.470239,-0.376805
Algemesi,Algemesi,39.21346223,-0.416644287
Algimia-de-Alfara,Algimia-de-Alfara,39.74396096,-0.392332815
Alginet,Alginet,39.26392619,-0.469731045
Almassera,Almassera,39.51531856,-0.348695687
Almisera,Almisera,38.92472718,-0.279265264
Almoines,Almoines,38.94756686,-0.178808817
Almussafes,Almussafes,39.29734351,-0.409472393
Alpuente,Alpuente,39.92450441,-1.032725021
Alqueria-de-la-Comtessa-l,Alqueria-de-la-Comtessa-l,38.9374756,-0.153000145
Alzira,Alzira,39.13884361,-0.505100804
Andilla,Andilla,39.82862356,-0.791682459
Anna,Anna,39.01157833,-0.641387968
Antella,Antella,39.0861111,-0.604456109
Aras-de-los-Olmos,Aras-de-los-Olmos,39.93766848,-1.160059896
Atzeneta-dAlbaida,Atzeneta-dAlbaida,38.83356804,-0.487577141
Ayora,Ayora,39.03257789,-0.995059912
Barx,Barx,39.01159908,-0.311742065
Barxeta,Barxeta,39.01539705,-0.427812527
Belgida,Belgida,38.86717896,-0.46035765
Bellreguard,Bellreguard,38.95331132,-0.151961492
Bellus,Bellus,38.94733598,-0.496628838
Benageber,Benageber,39.72740257,-1.127627159
Benaguasil,Benaguasil,39.58920886,-0.612855402
Benavites,Benavites,39.73549281,-0.236892733
Beneixida,Beneixida,39.06933834,-0.54818537
Benetusser,Benetusser,39.42278434,-0.396141239
Beniarjo,Beniarjo,38.93544525,-0.190109217
Beniatjar,Beniatjar,38.86179461,-0.423427695
Benicolet,Benicolet,38.91668118,-0.337985548
Benicull-de-Xuquer,Benicull-de-Xuquer,39.470239,-0.376805
Benifaio,Benifaio,39.28885764,-0.440717564
Benifairo-de-la-Valldigna,Benifairo-de-la-Valldigna,39.06025135,-0.302632522
